timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1627476984416,1429,https://twitter.com/sessions-5,304,Not Modified,Thread Group 1-5,,true,,594,659,5,5,https://abs.twimg.com/responsive-web/client-web/i18n/en.9ca4bc15.js,0,0,1001
1627476984416,1420,https://twitter.com/sessions-6,304,Not Modified,Thread Group 1-5,,true,,594,656,5,5,https://abs.twimg.com/responsive-web/client-web/main.1ad07545.js,0,0,998
1627476985585,313,https://api.twitter.com/1.1/jot/client_event.json,405,Method Not Allowed,Thread Group 1-1,,false,,237,2173,5,5,https://api.twitter.com/1.1/jot/client_event.json,313,0,0
1627476985724,307,https://twitter.com/i/api/2/timeline/home.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&cards_platform=Web-12&include_cards=1&include_ext_alt_text=true&include_quote_count=true&include_reply_count=1&tweet_mode=extended&include_entities=true&include_user_entities=true&include_ext_media_color=true&include_ext_media_availability=true&send_error_codes=true&simple_quoted_tweet=true&earned=1&count=20&lca=true&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-3,,false,,297,1690,5,5,https://twitter.com/i/api/2/timeline/home.json?include_cards=1&include_followed_by=1&include_blocked_by=1&include_reply_count=1&lca=true&include_quote_count=true&tweet_mode=extended&earned=1&include_ext_media_availability=true&include_blocking=1&include_profile_interstitial_type=1&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo&include_mute_edge=1&count=20&include_want_retweets=1&send_error_codes=true&include_ext_media_color=true&include_ext_alt_text=true&include_can_dm=1&skip_status=1&cards_platform=Web-12&include_can_media_tag=1&include_user_entities=true&include_entities=true&simple_quoted_tweet=true,307,0,0
1627476985859,305,https://twitter.com/i/api/1.1/promoted_content/log.json,403,Forbidden,Thread Group 1-2,,false,,297,1278,5,5,https://twitter.com/i/api/1.1/promoted_content/log.json,305,0,0
1627476985900,280,https://api.twitter.com/1.1/jot/client_event.json,405,Method Not Allowed,Thread Group 1-1,,false,,237,1615,5,5,https://api.twitter.com/1.1/jot/client_event.json,280,0,0
1627476985884,301,https://api.twitter.com/1.1/jot/client_event.json,405,Method Not Allowed,Thread Group 1-5,,false,,237,2173,5,5,https://api.twitter.com/1.1/jot/client_event.json,301,0,0
1627476985863,357,https://twitter.com/i/api/2/timeline/home.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&cards_platform=Web-12&include_cards=1&include_ext_alt_text=true&include_quote_count=true&include_reply_count=1&tweet_mode=extended&include_entities=true&include_user_entities=true&include_ext_media_color=true&include_ext_media_availability=true&send_error_codes=true&simple_quoted_tweet=true&earned=1&count=20&lca=true&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-4,,false,,297,1690,5,5,https://twitter.com/i/api/2/timeline/home.json?include_cards=1&include_followed_by=1&include_blocked_by=1&include_reply_count=1&lca=true&include_quote_count=true&tweet_mode=extended&earned=1&include_ext_media_availability=true&include_blocking=1&include_profile_interstitial_type=1&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo&include_mute_edge=1&count=20&include_want_retweets=1&send_error_codes=true&include_ext_media_color=true&include_ext_alt_text=true&include_can_dm=1&skip_status=1&cards_platform=Web-12&include_can_media_tag=1&include_user_entities=true&include_entities=true&simple_quoted_tweet=true,357,0,0
1627476986032,345,https://twitter.com/i/api/2/notifications/all.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&cards_platform=Web-12&include_cards=1&include_ext_alt_text=true&include_quote_count=true&include_reply_count=1&tweet_mode=extended&include_entities=true&include_user_entities=true&include_ext_media_color=true&include_ext_media_availability=true&send_error_codes=true&simple_quoted_tweet=true&count=20&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-3,,false,,297,1701,5,5,https://twitter.com/i/api/2/notifications/all.json?include_profile_interstitial_type=1&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo&include_cards=1&include_followed_by=1&include_mute_edge=1&include_blocked_by=1&count=20&include_want_retweets=1&include_reply_count=1&send_error_codes=true&include_ext_media_color=true&include_ext_alt_text=true&include_can_dm=1&include_quote_count=true&tweet_mode=extended&skip_status=1&cards_platform=Web-12&include_can_media_tag=1&include_ext_media_availability=true&include_user_entities=true&include_entities=true&include_blocking=1&simple_quoted_tweet=true,345,0,0
1627476986165,294,https://api.twitter.com/live_pipeline/events?topic=%2Ftweet_engagement%2F1420361278036480001,401,Unauthorized,Thread Group 1-2,text,false,,732,814,5,5,https://api.twitter.com/live_pipeline/events?topic=%2Ftweet_engagement%2F1420361278036480001,294,0,0
1627476986181,284,https://api.twitter.com/1.1/jot/error_log.json,200,OK,Thread Group 1-1,text,true,,449,1992,5,5,https://api.twitter.com/1.1/jot/error_log.json,284,0,0
1627476986186,289,https://api.twitter.com/1.1/jot/client_event.json,405,Method Not Allowed,Thread Group 1-5,,false,,237,1615,5,5,https://api.twitter.com/1.1/jot/client_event.json,289,0,0
1627476986222,332,https://twitter.com/i/api/2/notifications/all.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&cards_platform=Web-12&include_cards=1&include_ext_alt_text=true&include_quote_count=true&include_reply_count=1&tweet_mode=extended&include_entities=true&include_user_entities=true&include_ext_media_color=true&include_ext_media_availability=true&send_error_codes=true&simple_quoted_tweet=true&count=20&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-4,,false,,297,1701,5,5,https://twitter.com/i/api/2/notifications/all.json?include_profile_interstitial_type=1&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo&include_cards=1&include_followed_by=1&include_mute_edge=1&include_blocked_by=1&count=20&include_want_retweets=1&include_reply_count=1&send_error_codes=true&include_ext_media_color=true&include_ext_alt_text=true&include_can_dm=1&include_quote_count=true&tweet_mode=extended&skip_status=1&cards_platform=Web-12&include_can_media_tag=1&include_ext_media_availability=true&include_user_entities=true&include_entities=true&include_blocking=1&simple_quoted_tweet=true,332,0,0
1627476986377,306,https://twitter.com/i/api/2/badge_count/badge_count.json?supports_ntab_urt=1,403,Forbidden,Thread Group 1-3,,false,,297,1183,5,5,https://twitter.com/i/api/2/badge_count/badge_count.json?supports_ntab_urt=1,306,0,0
1627476986460,303,https://api.twitter.com/1.1/live_pipeline/update_subscriptions,401,Unauthorized,Thread Group 1-2,text,false,,732,1473,5,5,https://api.twitter.com/1.1/live_pipeline/update_subscriptions,303,0,0
1627476986476,301,https://api.twitter.com/1.1/jot/error_log.json,200,OK,Thread Group 1-5,text,true,,449,1992,5,5,https://api.twitter.com/1.1/jot/error_log.json,301,0,0
1627476986554,345,https://twitter.com/i/api/2/badge_count/badge_count.json?supports_ntab_urt=1,403,Forbidden,Thread Group 1-4,,false,,297,1183,5,5,https://twitter.com/i/api/2/badge_count/badge_count.json?supports_ntab_urt=1,345,0,0
1627476986684,303,https://twitter.com/i/api/1.1/branch/init.json,403,Forbidden,Thread Group 1-3,,false,,297,1182,5,5,https://twitter.com/i/api/1.1/branch/init.json,303,0,0
1627476986467,736,https://ads-api.twitter.com/9/measurement/dcm_local_id,405,Method Not Allowed,Thread Group 1-1,,false,,237,1198,5,5,https://ads-api.twitter.com/9/measurement/dcm_local_id,736,0,432
1627476986900,319,https://twitter.com/i/api/1.1/branch/init.json,403,Forbidden,Thread Group 1-4,,false,,297,1182,5,5,https://twitter.com/i/api/1.1/branch/init.json,319,0,0
1627476986987,326,https://twitter.com/i/api/graphql/vkuubJYPtAaV23XoSHEHIA/TopicToFollowSidebar?variables=%7B%22userId%22%3A%221117155182737936384%22%2C%22withUserResults%22%3Afalse%2C%22withTweetResult%22%3Atrue%2C%22withBirdwatchPivots%22%3Afalse%2C%22withReactions%22%3Afalse%2C%22withSuperFollowsTweetFields%22%3Afalse%2C%22withSuperFollowsUserFields%22%3Afalse%7D,403,Forbidden,Thread Group 1-3,,false,,297,1464,5,5,https://twitter.com/i/api/graphql/vkuubJYPtAaV23XoSHEHIA/TopicToFollowSidebar?variables=%7B%22userId%22%3A%221117155182737936384%22%2C%22withUserResults%22%3Afalse%2C%22withTweetResult%22%3Atrue%2C%22withBirdwatchPivots%22%3Afalse%2C%22withReactions%22%3Afalse%2C%22withSuperFollowsTweetFields%22%3Afalse%2C%22withSuperFollowsUserFields%22%3Afalse%7D,326,0,0
1627476986779,652,https://ads-api.twitter.com/9/measurement/dcm_local_id,405,Method Not Allowed,Thread Group 1-5,,false,,237,1198,5,5,https://ads-api.twitter.com/9/measurement/dcm_local_id,652,0,363
1627476987204,295,https://twitter.com/i/api/1.1/dm/inbox_initial_state.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&cards_platform=Web-12&include_cards=1&include_ext_alt_text=true&include_quote_count=true&include_reply_count=1&tweet_mode=extended&dm_users=true&include_groups=true&include_inbox_timelines=true&include_ext_media_color=true&supports_reactions=true&muting_enabled=false&nsfw_filtering_enabled=false&filter_low_quality=true&include_quality=all&ext=mediaColor%2CaltText%2CmediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-1,,false,,297,1742,5,5,https://twitter.com/i/api/1.1/dm/inbox_initial_state.json?include_cards=1&include_followed_by=1&filter_low_quality=true&include_blocked_by=1&include_groups=true&include_reply_count=1&muting_enabled=false&include_inbox_timelines=true&include_quote_count=true&tweet_mode=extended&include_quality=all&include_blocking=1&include_profile_interstitial_type=1&ext=mediaColor%2CaltText%2CmediaStats%2ChighlightedLabel%2CvoiceInfo&nsfw_filtering_enabled=false&include_mute_edge=1&supports_reactions=true&include_want_retweets=1&include_ext_media_color=true&dm_users=true&include_ext_alt_text=true&include_can_dm=1&skip_status=1&cards_platform=Web-12&include_can_media_tag=1,295,0,0
1627476987220,319,https://twitter.com/i/api/graphql/vkuubJYPtAaV23XoSHEHIA/TopicToFollowSidebar?variables=%7B%22userId%22%3A%221117155182737936384%22%2C%22withUserResults%22%3Afalse%2C%22withTweetResult%22%3Atrue%2C%22withBirdwatchPivots%22%3Afalse%2C%22withReactions%22%3Afalse%2C%22withSuperFollowsTweetFields%22%3Afalse%2C%22withSuperFollowsUserFields%22%3Afalse%7D,403,Forbidden,Thread Group 1-4,,false,,297,1464,5,5,https://twitter.com/i/api/graphql/vkuubJYPtAaV23XoSHEHIA/TopicToFollowSidebar?variables=%7B%22userId%22%3A%221117155182737936384%22%2C%22withUserResults%22%3Afalse%2C%22withTweetResult%22%3Atrue%2C%22withBirdwatchPivots%22%3Afalse%2C%22withReactions%22%3Afalse%2C%22withSuperFollowsTweetFields%22%3Afalse%2C%22withSuperFollowsUserFields%22%3Afalse%7D,319,0,0
1627476987314,305,https://twitter.com/i/api/1.1/users/recommendations.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&&pc=true&display_location=profile_accounts_sidebar&limit=4&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-3,,false,,297,1439,5,5,https://twitter.com/i/api/1.1/users/recommendations.json?include_profile_interstitial_type=1&display_location=profile_accounts_sidebar&ext=mediaStats%2ChighlightedLabel%2CvoiceInfo&include_followed_by=1&include_mute_edge=1&include_blocked_by=1&include_want_retweets=1&include_can_dm=1&skip_status=1&pc=true&include_can_media_tag=1&limit=4&include_blocking=1,305,0,0
1627476987432,371,https://twitter.com/i/api/1.1/dm/inbox_initial_state.json?include_profile_interstitial_type=1&include_blocking=1&include_blocked_by=1&include_followed_by=1&include_want_retweets=1&include_mute_edge=1&include_can_dm=1&include_can_media_tag=1&skip_status=1&cards_platform=Web-12&include_cards=1&include_ext_alt_text=true&include_quote_count=true&include_reply_count=1&tweet_mode=extended&dm_users=true&include_groups=true&include_inbox_timelines=true&include_ext_media_color=true&supports_reactions=true&muting_enabled=false&nsfw_filtering_enabled=false&filter_low_quality=true&include_quality=all&ext=mediaColor%2CaltText%2CmediaStats%2ChighlightedLabel%2CvoiceInfo,403,Forbidden,Thread Group 1-5,,false,,297,1742,5,5,https://twitter.com/i/api/1.1/dm/inbox_initial_state.json?include_cards=1&include_followed_by=1&filter_low_quality=true&include_blocked_by=1&include_groups=true&include_reply_count=1&muting_enabled=false&include_inbox_timelines=true&include_quote_count=true&tweet_mode=extended&include_quality=all&include_blocking=1&include_profile_interstitial_type=1&ext=mediaColor%2CaltText%2CmediaStats%2ChighlightedLabel%2CvoiceInfo&nsfw_filtering_enabled=false&include_mute_edge=1&supports_reactions=true&include_want_retweets=1&include_ext_media_color=true&dm_users=true&include_ext_alt_text=true&include_can_dm=1&skip_status=1&cards_platform=Web-12&include_can_media_tag=1,371,0,0
